IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
FALSE,clap's favorite,clapp favorite,clapp favorite,,FALSE,,
FALSE,clapp favorite,clapp favorite,clapp favorite,,FALSE,,
FALSE,clapp's favorite,clapp favorite,clapp favorite,,FALSE,,
FALSE,clapps,clapp favorite,clapp favorite,,FALSE,,
FALSE,clapps favorite,clapp favorite,clapp favorite,,FALSE,,
TRUE,clark,clark,clark,,FALSE,,
TRUE,clark sweet,,clark sweet,,FALSE,,
TRUE,clark's favorite,,clarks favorite,,FALSE,,
TRUE,clarke,,clarke,,FALSE,,
FALSE,cleaga,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,clerga,beurre clairgeau,beurre clairgeau,,FALSE,,
TRUE,clie's beauty,clyde,clyde,,FALSE,,
TRUE,cluster crab,cluster crab,cluster crab,,FALSE,,
TRUE,clyde beauty,clyde,clyde,,FALSE,,
TRUE,cobert,colvert,colvert,,FALSE,,
TRUE,coburn sweet,,coburn sweet,,FALSE,,
TRUE,codling,,codling,,FALSE,,
TRUE,colcord sweet,colcord sweet,colcord sweet,,FALSE,,
TRUE,cole quince,cole quince,cole quince,,FALSE,,
TRUE,cole's quince,cole quince,cole quince,,FALSE,,
TRUE,collins,collins,collins,,FALSE,,
TRUE,colooct,,colooct,,FALSE,,
TRUE,color quince,cole quince,cole quince,,FALSE,,
TRUE,columbus,columbus,columbus,,FALSE,,
TRUE,colvert,colvert,colvert,,FALSE,,
TRUE,common cathead,,common cathead,,FALSE,,
TRUE,common russet,,common russet,,FALSE,,
TRUE,common russets,,common russet,,FALSE,,
TRUE,common sweet,,common sweet,,FALSE,,
TRUE,concord,,concord,,FALSE,,
TRUE,congress,congress,congress,,FALSE,,
FALSE,congress,souvenir de congress,souvenir du congress,,FALSE,,
TRUE,connecticut greening,,connecticut greening,,FALSE,,
TRUE,connecticut king,,connecticut king,,FALSE,,
TRUE,connecticut winter sweet,,connecticut winter sweet,,FALSE,,
TRUE,cony sweet,,cony sweet,,FALSE,,
TRUE,cook,cook,cook,,FALSE,,
TRUE,cook's sweet,,cook's sweet,,FALSE,,
TRUE,cooper market,cooper market,cooper market,,FALSE,,
TRUE,cooper's market,cooper market,cooper market,,FALSE,,
TRUE,coopers market,cooper market,cooper market,,FALSE,,
TRUE,corn field apples,,corn field apple,,FALSE,,
TRUE,corn sweet,,corn sweet,,FALSE,,
TRUE,corner apple,,corner apple,,FALSE,,
TRUE,cornish greening,,cornish greening,,FALSE,,
TRUE,cortland,cortland,cortland,,FALSE,,
FALSE,corvenere de aneress,souvenir de congress,souvenir de congress,,FALSE,,
TRUE,cowel,,cowel,,FALSE,,
TRUE,craig's pearmain,,craigs pearmain,,FALSE,,
TRUE,cranberry,cranberry pippin,cranberry pippin,,FALSE,,
TRUE,cranberry crab,cranberry crab,cranberry crab,,FALSE,,
TRUE,cranberry pippin,cranberry pippin,cranberry pippin,,FALSE,,
TRUE,crane pippin,ortley,ortley,,FALSE,,
TRUE,cream yellow,,cream yellow,,FALSE,,
TRUE,creased apple,,creased apple,,FALSE,,
TRUE,crimson beauty,crimson beauty,crimson beauty,,FALSE,,
TRUE,cross orange,,cross orange,,FALSE,,
TRUE,crow sweet,,crow sweet,,FALSE,,
TRUE,crown apple,,crown apple,,FALSE,,
TRUE,crystal beauty,crystal beauty,crystal beauty,,FALSE,,
TRUE,cubfola,,cubfola,,FALSE,,
TRUE,culvert,colvert,colvert,,FALSE,,
TRUE,cummings,,cummings,,FALSE,,
TRUE,cummings greening,,cummings greening,,FALSE,,
TRUE,cummings sweet,cummings sweet,cummings sweet,,FALSE,,
TRUE,cuthbert,hurlbut,hurlbut,,FALSE,,
TRUE,cuthburt,hurlbut,hurlbut,,FALSE,,
FALSE,d'anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,daily sweet,,daily sweet,,FALSE,,
TRUE,dakota red,detroit red,detroit red,,FALSE,,
TRUE,daldenburg,duchess of oldenburg,duchess of oldenburg,,FALSE,,
FALSE,dampe,,dampe,,FALSE,,
FALSE,dana's hovey,dana hovey,dana hovey,,FALSE,,
TRUE,dano,gano,gano,,FALSE,,
TRUE,danver's winter sweet,danvers winter sweet,danvers winter sweet,,FALSE,,
TRUE,danvers,danvers winter sweet,danvers winter sweet,,FALSE,,
TRUE,danvers sweet,danvers winter sweet,danvers winter sweet,,FALSE,,
TRUE,danvers winter sweet,danvers winter sweet,danvers winter sweet,,FALSE,,
TRUE,danyon,,danyon,,FALSE,,
TRUE,davis,,davis,,FALSE,,
FALSE,de angean,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,de anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,de tanga,,de tanga,,FALSE,,
TRUE,dean,deane,deane,,FALSE,,
TRUE,deane,deane,deane,,FALSE,,
TRUE,deceiver,,deceiver,,FALSE,,
TRUE,delaware,lawver,lawver,,FALSE,,
TRUE,deleware red winter,lawver,lawver,,FALSE,,
TRUE,delicious,red delicious,red delicious,,FALSE,,
TRUE,derby pippin,derby pippin,derby pippin,,FALSE,,
TRUE,detroit,detroit red,detroit red,,FALSE,,
TRUE,dian,,dian,,FALSE,,
TRUE,doctor brooks,,doctor brooks,,FALSE,,
TRUE,dodd,,dodd,,FALSE,,
TRUE,dollar apple,,dollar apple,,FALSE,,
TRUE,dominie,domine,domine,,FALSE,,
TRUE,domino,domine,domine,,FALSE,,
FALSE,donne bussock,doyenne boussock,doyenne boussock,,FALSE,,
FALSE,dorset,dorset,dorset,,FALSE,,
TRUE,double gill flower,,double gilliflower,,FALSE,,
TRUE,dover favorites,,dover favorite,,FALSE,,
FALSE,doyen white,white doyenne,white doyenne,,FALSE,,
FALSE,doyenne,,doyenne,,FALSE,,
FALSE,doyenne bosc,beurre bosc,beurre bosc,,FALSE,,
FALSE,doyenne boussock,doyenne boussock,doyenne boussock,,FALSE,,
FALSE,doyenne d'ete,summer doyenne,summer doyenne,,FALSE,,
FALSE,doynne bosworth,doyenne boussock,doyenne boussock,,FALSE,,
TRUE,drap d'or,drap d'or,drap d'or,,FALSE,,
TRUE,duchess,duchess of oldenburg,duchess of oldenburg,,TRUE,,
FALSE,duchess,,duchesse,,FALSE,,
FALSE,duchess angouleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess d' angouleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess d'anglorinne,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess d'angouleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess d'angoulleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess d'augouleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess de angouleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess de angouline,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess de argouline,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess de beaux,duchesse de bordeaux,duchesse de bordeaux,,FALSE,,
FALSE,duchess de bordeaux,duchesse de bordeaux,duchesse de bordeaux,,FALSE,,
FALSE,duchess dongleme,duchesse d'angouleme,duchesse d'angouleme,,FALSE,,
FALSE,duchess of berdsay,duchesse de bordeaux,duchesse de bordeaux,,FALSE,,
FALSE,duchess of bordeaux,duchesse de bordeaux,duchesse de bordeaux,,FALSE,,
TRUE,duchess of columbia,,duchess of columbia,,FALSE,,
